,06191500,06192500,06200000
vpd_min_min_lag4w,0.708,0.709,0.719
vpd_min_min_lag5w,0.731,0.721,0.702
vpd_min_min_lag6w,0.714,0.705,0.738
vpd_min_min_lag7w,0.724,0.732,0.712
vpd_min_min_lag8w,0.718,0.703,0.688
vpd_min_min_lag9w,0.716,0.71,0.712
vpd_min_min_lag10w,0.722,0.721,0.721
vpd_min_min_lag11w,0.698,0.691,0.723
vpd_min_min_lag12w,0.704,0.696,0.727
vpd_min_min_lag13w,0.712,0.707,0.72
vpd_min_min_lag14w,0.706,0.701,0.716
vpd_min_min_lag15w,0.711,0.712,0.725
vpd_min_stdDev,0.709,0.701,0.724
vpd_min_stdDev_lag1w,0.71,0.701,0.719
vpd_min_stdDev_lag2w,0.7,0.699,0.716
vpd_min_stdDev_lag3w,0.698,0.699,0.712
vpd_min_stdDev_lag4w,0.711,0.698,0.717
vpd_min_stdDev_lag5w,0.711,0.708,0.714
vpd_min_stdDev_lag6w,0.709,0.704,0.723
vpd_min_stdDev_lag7w,0.728,0.728,0.716
vpd_min_stdDev_lag8w,0.724,0.718,0.704
vpd_min_stdDev_lag9w,0.727,0.734,0.713
vpd_min_stdDev_lag10w,0.73,0.725,0.716
vpd_min_stdDev_lag11w,0.709,0.709,0.694
vpd_min_stdDev_lag12w,0.71,0.707,0.695
vpd_min_stdDev_lag13w,0.714,0.703,0.713
vpd_min_stdDev_lag14w,0.711,0.703,0.697
vpd_min_stdDev_lag15w,0.721,0.711,0.708
scf,0.709,0.701,0.724
scf_lag1w,0.653,0.66,0.698
scf_lag2w,0.629,0.599,0.546
scf_lag3w,0.609,0.574,0.547
scf_lag4w,0.585,0.553,0.548
scf_lag5w,0.645,0.641,0.588
scf_lag6w,0.648,0.639,0.623
scf_lag7w,0.711,0.701,0.674
scf_lag8w,0.701,0.702,0.625
scf_lag9w,0.665,0.649,0.601
scf_lag10w,0.691,0.68,0.69
scf_lag11w,0.745,0.723,0.721
scf_lag12w,0.689,0.666,0.666
scf_lag13w,0.642,0.605,0.547
scf_lag14w,0.665,0.643,0.603
scf_lag15w,0.611,0.591,0.593
